z,x,y
1975,7.483785704,45.4680519
1653,7.504055243,45.48859952
2877,7.41846669,45.55664873
1784,7.641491537,45.4511313
1934,7.321688495,45.64016868
1858,7.639293379,45.63591805
2244,7.397408692,45.56723806
1018,7.647257804,45.72822926
1838,7.40391598,45.69955191
1488,7.431433567,45.71431692
2598,7.441031748,45.47996386
1587,7.578776043,45.55647693
2321,7.532626185,45.6969742
603,7.663250027,45.71213681
2378,7.3947311,45.48740947
1072,7.639111,45.72615103
2543,7.531872705,45.58567889
641,7.662529764,45.74168216
1599,7.613166911,45.71717727
793,7.622728568,45.42809232
2552,7.367373717,45.58125428
2160,7.314685677,45.66941035
2763,7.370141368,45.51025666
2736,7.342854094,45.50717222
2141,7.514075125,45.66212303
2183,7.584306556,45.62819806
2714,7.423781138,45.61498454
1073,7.320164368,45.4484334
562,7.41976558,45.73302844
2521,7.332070211,45.53864592
1459,7.608623266,45.4641156
2129,7.355933893,45.58901156
2732,7.499021587,45.59324688
1836,7.58940402,45.48934305
1328,7.661828807,45.63781049
1734,7.593800028,45.53566614
576,7.481429416,45.40690833
2015,7.33808814,45.59398225
2072,7.335593827,45.59308931
2700,7.442587917,45.60930344
1344,7.546536706,45.43609417
1974,7.421826449,45.70407245
2437,7.38641498,45.69550899
2451,7.467265501,45.47787694
2114,7.595463206,45.55957032
416,7.620728019,45.40835391
958,7.325462745,45.71479326
1933,7.654250204,45.48634147
1975,7.327291795,45.61377323
1214,7.620648502,45.44597558
2216,7.579412961,45.65493613
1905,7.470625987,45.44053402
3182,7.309949179,45.51258112
1891,7.577819691,45.53084113
2478,7.432523948,45.51941796
2422,7.50180722,45.63104287
1915,7.572460419,45.71367037
1329,7.484585309,45.51069118
432,7.662491233,45.67664336
1741,7.328187585,45.69752067
2584,7.388772783,45.49175506
1976,7.449279364,45.45443085
2038,7.457222243,45.67728908
664,7.454951309,45.41288306
2603,7.498193335,45.54669522
1286,7.566974557,45.49203889
2530,7.431734051,45.51186355
1766,7.657432688,45.59002153
2203,7.455801163,45.50964973
1950,7.514887842,45.54648628
2694,7.328665972,45.65236292
2349,7.531471472,45.61448817
1475,7.539928324,45.51592662
802,7.376433711,45.42941074
538,7.447516874,45.73796466
2133,7.594391393,45.57209443
2023,7.350032368,45.45649418
2969,7.442148793,45.6439391
2440,7.459131733,45.48198878
2814,7.402556115,45.61948082
1800,7.613547047,45.71186577
1224,7.644428452,45.62182112
918,7.591518263,45.44964027
2539,7.344891934,45.55940071
1095,7.547059864,45.47384878
2601,7.51454686,45.63580574
471,7.589223872,45.74232857
1510,7.477724351,45.71087008
2601,7.323765927,45.64870621
2281,7.521973375,45.56334112
1239,7.485789712,45.71362178
550,7.356091327,45.74134945
1027,7.507793752,45.72216857
2099,7.663555168,45.50974647
2523,7.323509833,45.53361953
2878,7.321732289,45.48956147
2773,7.430831312,45.65861453
1311,7.407103489,45.44103838
2351,7.582256474,45.69475397
1326,7.447136274,45.70477752
2551,7.40773073,45.62891323
2520,7.566465404,45.6416991
872,7.398713506,45.42716459
1620,7.561037483,45.44265351
1647,7.528548716,45.47403568
3120,7.387877746,45.51719603
1780,7.592566652,45.62192769
2324,7.454494499,45.4592516
2747,7.444024424,45.48297779
2610,7.452876304,45.57600343
2419,7.310687729,45.47643183
1494,7.665602603,45.63534062
2596,7.410309761,45.68607599
2777,7.45964481,45.58632634
1754,7.650984784,45.53604988
1957,7.618221336,45.66090256
1860,7.670555648,45.57289186
2674,7.412926641,45.62771838
1381,7.493886532,45.71386328
1810,7.335429384,45.63280231
1847,7.513370321,45.70457658
2295,7.651870494,45.50724424
1196,7.409321101,45.71167432
1132,7.492201306,45.72194459
1596,7.377967193,45.45418977
2103,7.588418781,45.54556861
2250,7.580822103,45.62792653
2508,7.350882365,45.57401495
2868,7.404638331,45.61842556
2057,7.433277968,45.46618788
1105,7.663495601,45.43905354
1561,7.602714263,45.67576823
971,7.558618059,45.72948534
1226,7.447763582,45.71050181
1940,7.309700764,45.42912789
869,7.636857019,45.42414145
2395,7.463745928,45.49981072
621,7.509910652,45.40897891
2379,7.502204357,45.54494216
2921,7.537351519,45.58313009
538,7.386207822,45.74170781
2499,7.593000179,45.58797204
1734,7.59391375,45.53521155
2474,7.426504597,45.51839899
1639,7.556523491,45.71815954
1524,7.588971849,45.72058875
1328,7.564371165,45.45657995
2706,7.458258481,45.58588819
1463,7.490649967,45.45319007
1900,7.365153033,45.6205923
1734,7.519247063,45.71442032
2223,7.649175387,45.48204963
733,7.629550512,45.42265985
2792,7.507008763,45.62005684
2361,7.430101576,45.56638981
1834,7.669394985,45.62836139
1564,7.378526986,45.45479332
2998,7.394746013,45.6619934
2511,7.424967221,45.51680984
1984,7.472632276,45.69640503
1897,7.574570053,45.67614156
2314,7.424462264,45.57752689
2950,7.341649858,45.48468836
1250,7.494592005,45.41681099
2129,7.598997567,45.52978204
2523,7.310420843,45.65765854
1920,7.314036067,45.42427467
739,7.581393939,45.46209016
663,7.667765248,45.73847356
2310,7.382384122,45.63855414
2707,7.486536781,45.62866851
1972,7.588455569,45.62351147
1249,7.535384768,45.44869466
2334,7.484206887,45.6426163
1623,7.343492258,45.61763867
1942,7.40090753,45.41501733
495,7.525625446,45.74153616
2049,7.526698552,45.52706081
3067,7.386424216,45.65770259
639,7.445498069,45.42218301
3120,7.373345483,45.65975601
2314,7.411238967,45.58915561
2407,7.480754083,45.64708745
2996,7.31706847,45.48860284
2754,7.392648182,45.61954928
1804,7.497636397,45.52467444
1537,7.514515416,45.48530019
867,7.553892468,45.47959666
1285,7.39040449,45.42204612
1094,7.614411939,45.43762974
1487,7.547485048,45.53385414
2482,7.534705202,45.64366575
1201,7.555154456,45.52835769
1631,7.628527756,45.45455639
1217,7.498413686,45.42953818
1162,7.636004464,45.72495358
2938,7.343580141,45.542483
1664,7.434576374,45.71100523
760,7.623118788,45.73649959
1420,7.531365232,45.50204354
2148,7.567652867,45.709246
2030,7.403875065,45.46451103
1920,7.49447393,45.66427901
2179,7.604435816,45.70355794
1696,7.58213055,45.49624814
1737,7.600033434,45.71648916
550,7.348595498,45.73489048
2742,7.373301386,45.64134293
2202,7.395312843,45.48370103
2412,7.595382786,45.50404602
1511,7.624705486,45.60727808
1742,7.323292414,45.42987334
2073,7.477485435,45.6941381
2857,7.407806851,45.5195139
3066,7.381596288,45.6606637
2328,7.350618425,45.68736045
1019,7.528877654,45.72355034
2829,7.548438288,45.67538507
2744,7.465449165,45.47519164
1400,7.404862286,45.70665405
2377,7.501040968,45.57625734
2485,7.534027553,45.65132182
2894,7.45417165,45.5624628
1772,7.351131754,45.61762445
870,7.499591487,45.7270671
2406,7.306984049,45.47261611
1103,7.62225786,45.72968748
1681,7.642080426,45.65432319
2738,7.424614194,45.61452276
1766,7.634215586,45.64940501
2645,7.456931482,45.548782
2213,7.333934512,45.64159111
1766,7.453462005,45.69516721
2729,7.307859129,45.59954228
1813,7.507945816,45.51314072
2182,7.508285086,45.53661039
2132,7.327382095,45.4253534
1808,7.322006691,45.42905816
2662,7.512240317,45.62351244
2420,7.470977552,45.56559538
3020,7.482637638,45.62285083
490,7.603884116,45.42443657
2949,7.425651672,45.67066924
1634,7.661190852,45.5945421
1876,7.669278428,45.6294302
1523,7.492200704,45.45641249
2558,7.631190655,45.57173469
624,7.587803478,45.4378567
1955,7.638976051,45.4769642
1786,7.346360864,45.59844334
1415,7.669167832,45.62334845
1819,7.343442235,45.5823831
966,7.565789227,45.42598714
2720,7.44062726,45.56526657
2842,7.375641797,45.64363539
921,7.617610736,45.73431055
2453,7.588267186,45.64086478
1584,7.609915208,45.4610455
1625,7.552908681,45.45319957
2666,7.533664399,45.68111514
2427,7.355099082,45.68088609
1414,7.338258715,45.45066866
2438,7.315283104,45.57699152
547,7.58992827,45.4335597
1985,7.486534825,45.56826318
2517,7.378368064,45.64062443
471,7.623386093,45.74168628
1977,7.523667459,45.5366578
2676,7.542432794,45.65521139
2381,7.634386163,45.51782249
1899,7.585688759,45.70375512
2849,7.425355488,45.5454475
2017,7.394488806,45.70677451
2651,7.478903205,45.63779168
1992,7.550002041,45.54282865
2401,7.44434339,45.54458209
575,7.543932871,45.73775535
2500,7.484351963,45.59613036
1961,7.520188162,45.45998804
1622,7.625499591,45.69351098
2559,7.316972672,45.53103705
1958,7.326472951,45.56820317
2740,7.53163645,45.59109401
3036,7.438013031,45.61459716
2579,7.614662014,45.52262281
854,7.585704082,45.73097877
2246,7.362005867,45.62821863
1032,7.506552702,45.5013829
2167,7.364378065,45.70103575
2037,7.464541415,45.46034909
2713,7.549737728,45.65920585
1531,7.451863866,45.70825092
2597,7.310571002,45.48831156
2983,7.36750609,45.5556958
2769,7.361215527,45.68434218
1633,7.594836674,45.48201561
1020,7.329828303,45.44829029
1961,7.347049066,45.42045636
2414,7.351726001,45.67486226
943,7.634644439,45.68125319
1271,7.341505148,45.44856084
2838,7.469420139,45.64953567
3052,7.325093151,45.49272413
2011,7.512113418,45.69467149
549,7.451984992,45.73583332
1722,7.323362628,45.69460849
1965,7.461890508,45.44901542
2762,7.461798832,45.49474763
2481,7.565572062,45.62888974
2551,7.376630482,45.56348334
2272,7.310141414,45.54022388
1260,7.649602376,45.65018674
2681,7.487411481,45.60260014
2230,7.338813791,45.64216504
1652,7.561580567,45.49566172
2515,7.330869836,45.64708855
597,7.58241111,45.73791053
2316,7.574518202,45.60205435
1657,7.637709056,45.69622607
1315,7.343399658,45.71232606
2902,7.438826836,45.50260404
2296,7.587981245,45.60165441
2899,7.429703487,45.64921078
2447,7.468006199,45.67384576
2610,7.477885868,45.65603516
559,7.475321497,45.73648989
2161,7.650954614,45.50896167
2350,7.609371864,45.52541489
2118,7.627283242,45.593244
370,7.670467243,45.67362648
2952,7.336039877,45.49125663
1257,7.628116936,45.43764709
1101,7.570095,45.45893853
2699,7.353471561,45.51237521
1633,7.476609781,45.45118792
2643,7.363709617,45.63484217
2092,7.519387933,45.6609134
1680,7.583334052,45.71435498
2075,7.502328408,45.52557903
1733,7.333704304,45.4302059
1889,7.515018555,45.56314936
1440,7.335638388,45.45057594
2666,7.533924385,45.68088304
2475,7.596070591,45.5807499
905,7.601016494,45.44202988
2892,7.347585335,45.51342485
2606,7.34120352,45.54690506
461,7.66535063,45.70418062
1833,7.599347821,45.66996542
1072,7.593858684,45.72766949
1272,7.510971378,45.43568187
2747,7.418237901,45.62855221
1444,7.504365162,45.45363603
670,7.434912402,45.42578922
2427,7.55052665,45.57557765
1550,7.657721146,45.62802208
1913,7.342041713,45.70296702
2081,7.370295923,45.59277923
1705,7.6341485,45.64241441
2890,7.397548763,45.6586612
1290,7.533961642,45.50033753
1808,7.339212171,45.70253937
1733,7.33166702,45.70041147
1695,7.670107185,45.47445994
2478,7.579578162,45.69173554
2578,7.59283976,45.58120694
1922,7.638203948,45.4770718
2971,7.418138178,45.67513204
2225,7.575447,45.64952488
2592,7.526794276,45.59797466
2407,7.54059731,45.59149242
849,7.39004011,45.42696893
2421,7.445961426,45.54527714
2337,7.35110254,45.6810181
1789,7.512936054,45.55095614
1997,7.589595705,45.50836171
1923,7.372730134,45.61451283
2598,7.348557488,45.48623658
1701,7.580898029,45.71705676
1657,7.5883023,45.51372171
2637,7.485195738,45.57695361
1848,7.591030953,45.51699188
2400,7.609018611,45.50088721
3058,7.473738863,45.61506212
1032,7.583862043,45.46727983
629,7.585018694,45.73586979
2762,7.446083874,45.4869969
1915,7.581912118,45.68053763
2428,7.618922076,45.532054
2367,7.547455037,45.59779799
2795,7.453433556,45.5672296
2655,7.43886144,45.48284598
3082,7.354875671,45.55035849
1769,7.367109788,45.44772352
2058,7.385354864,45.56266394
3154,7.361593487,45.56331417
735,7.515974914,45.72926466
1388,7.667296329,45.62397643
2260,7.54444222,45.55253685
2096,7.388903467,45.47051005
1647,7.534213159,45.52622668
1826,7.455408582,45.53250035
523,7.536369236,45.40952876
2942,7.444250026,45.55604573
2304,7.445078406,45.66032417
1910,7.483512467,45.50296163
2431,7.356830685,45.46179992
1972,7.616592419,45.58443571
2699,7.362217972,45.68276215
1751,7.63286729,45.64835416
2208,7.548619142,45.6134616
1353,7.65598278,45.54313113
2046,7.330944004,45.42402671
1564,7.514153224,45.48570186
1869,7.36773472,45.48739442
2327,7.389019238,45.63942869
1713,7.657535215,45.60217999
2385,7.576166236,45.69358005
2579,7.561673114,45.58685406
531,7.667745639,45.41280428
2313,7.383047924,45.55288473
2702,7.447387195,45.57550755
1967,7.383546877,45.60791257
1692,7.493589485,45.66921864
2611,7.489533242,45.62290524
2350,7.450911794,45.65998833
1817,7.347982141,45.62003843
2303,7.351998761,45.46159213
1376,7.375734794,45.46357638
2562,7.533624165,45.66670898
2227,7.426852911,45.47372948
